press,act
1009.6,0.747
1010.2,1.263
1010.9,1.403
1011.3,1.392
1011.3,1.601
1010.7,1.239
1009.8,1.119
1008.8,1.031
1007.9,0.932
1007.7,0.843
1007.8,0.406
1008,0.273
1008.6,0.471
1009.4,0.297
1010.4,0.065
1011,0
1011.3,0
1011.4,0.027
1010.5,0.01
1009.9,0.017
1009.1,0.056
1008.4,0.175
1008.6,0.25
1008.7,0.414
1009.2,0.843
1010,1.616
1010.7,2.216
1011.1,2.31
1011.1,2.265
1010.7,1.627
1009.7,1.313
1008.7,1.254
1007.5,0.896
1007.1,0.914
1006.8,0.455
1007.3,0.366
1007.6,0.519
1008.6,0.299
1009.6,0.015
1010.3,0.004
1010.3,0.015
1010.1,0.034
1009.5,0.049
1008.9,0.19
1008.4,0.189
1008.3,0.131
1008.5,0.303
1008.6,0.389
1009.2,0.947
1009.9,1.475
1010.5,1.758
1010.6,1.525
1010.9,1.861
1010.3,1.758
1009.1,1.32
1008.3,1.217
1007.6,1.209
1007.3,1.123
1007.2,0.648
1007.3,0.361
1007.6,0.586
1008.1,0.41
1008.7,0.037
1009.7,0.004
1010,0.033
1010,0.074
1009.3,0.053
1008.7,0.078
1008.3,0.102
1008.1,0.158
1008,0.193
1008,0.284
1008.6,0.604
1009.8,1.284
1010,1.596
1010.5,1.389
1010.8,1.488
1010.1,1.172
1009.1,1.235
1008.6,1.133
1008,1.032
1007.6,0.874
1007.6,0.66
1008,0.47
1008,0.516
1008.6,0.411
1009.5,0.063
1010,0
1009.9,0.007
1009.9,0.014
1009.6,0.035
1009.1,0.053
1008.4,0.074
1008.2,0.042
1008.2,0.065
1008.7,0.116
1009.4,0.285
1010.1,0.893
1010.6,1.211
1011,1.312
1010.9,1.386
1010.5,1.065
1009.7,1.033
1009,0.825
1008.5,0.893
1008.1,0.697
1008,0.632
1008.7,0.436
1009.2,0.481
1009.9,0.128
1010.5,0.015
1011.4,0.027
1011.7,0.021
1011.2,0.116
1010.6,0.107
1010,0.136
1009.6,0.17
1009.5,0.167
1009.9,0.078
1010.4,0.213
1010.6,0.371
1011.3,0.934
1011.9,1.362
1012,1.247
1011.9,1.443
1011.5,1.284
1010.5,0.934
1009.5,0.764
1008.9,0.793
1008.1,0.784
1008.2,0.658
1008.1,0.48
1008.6,0.391
1009.7,0.184
1010.4,0.118
1010.5,0.069
1010.9,0.026
1010.6,0.106
1010.1,0.129
1009.4,0.124
1008.7,0.174
1008.4,0.101
1008.4,0.116
1009,0.241
1009.6,0.576
1010.2,0.927
1010.7,1.244
1010.7,1.436
1010.3,1.424
1009.4,1.146
1008.4,0.991
1007.5,0.857
1006.8,0.857
1006.7,0.814
1006.8,0.357
1007.3,0.299
1008,0.549
1008.6,0.183
1009.3,0.067
1009.9,0.076
1010.1,0.125
1009.7,0.149
1009.1,0.204
1008.6,0.268
1008.1,0.209
1007.9,0.209
1008.1,0.139
1008.2,0.223
1008.4,0.476
1009.3,0.834
1010,1.432
1009.9,1.419
1009.5,1.639
1008.9,1.348
1007.8,1.182
1007.1,0.943
1006.7,0.747
1006.7,1.041
1007.2,0.635
1007.4,0.429
1008.2,0.199
1009,0.152
1009.5,0.061
1010.1,0.007
1010.1,0.017
1009.6,0.051
1008.9,0.101
1008.5,0.176
1008,0.158
1007.8,0.158
1008,0.286
1008.5,0.376
1008.7,0.707
1009.3,1.244
1009.9,1.523
