hora,temp,press,ventvel,rad,act
0,24.2,1008.6,0.5,-3.54,0.029
1,23.9,1008.8,0.6,-3.54,0.038
2,23.5,1008.9,0,-3.54,0.081
3,23.5,1009.3,0,-3.54,0.172
4,23.9,1010,0,43.62,0.294
5,26.8,1010.7,0.8,161.7,0.686
6,28.9,1011.4,1.2,407.8,1.221
7,30.5,1011.8,1,715.5,1.346
8,31.4,1011.4,1.4,2222,1.581
9,32.5,1010.7,1.3,2926,1.235
10,33.2,1009.6,1,2869,1.157
11,33.9,1008.6,1.7,2640,0.951
12,31.2,1008.1,1.5,1494,1.015
13,30.7,1007.8,1.6,1433,1.041
14,30.3,1008.1,2,520.6,0.497
15,29.5,1008.4,1.7,372.8,0.735
16,28.4,1008.9,1.6,6.082,0.852
17,27.8,1009.7,1.8,-3.38,0.34
18,27.2,1010.5,0.8,-3.54,0.058
19,26.8,1010.9,0.7,-3.53,0.012
20,26.5,1011.1,1.4,-3.54,0.174
21,26.2,1010.8,0.8,-3.54,0.224
22,25.7,1009.9,0.6,-3.54,0.247
23,25.3,1009.2,0.3,-3.54,0.183
0,25.2,1008.7,0.1,-3.54,0.101
1,24.7,1008.7,0,-3.54,0.115
2,25,1008.7,0.1,-3.54,0.132
3,24.8,1009.2,0.1,-3.54,0.146
4,25.3,1009.9,0.3,42.2,0.39
5,27.5,1011.2,1.1,182.4,0.89
6,29.3,1011.9,0.9,354.8,1.219
7,30,1012.2,1.1,815.7,1.371
8,32,1012,1,2419,1.885
9,31.1,1011.5,0.9,1543,1.612
10,31.5,1010.6,1.1,1240,1.343
11,30.9,1009.7,1.1,1048,1.213
12,31.5,1008.8,1.8,827,1.166
13,30.9,1008.6,2.2,557.8,1.126
14,28.7,1008.6,0.8,215.3,0.927
15,29.4,1008.8,0.9,269.8,0.949
16,28.8,1009.4,0.7,1.887,0.708
17,27.8,1010.8,0.7,-3.53,0.343
18,26.9,1011.2,0.7,-3.52,0.098
19,26.3,1012.5,0.9,-3.48,0.067
20,26,1012.5,0.6,-3.54,0.059
21,25.7,1012.2,0.4,-3.54,0.152
22,25.3,1011.3,0.4,-3.54,0.138
23,25.1,1010.8,0.6,-3.54,0.11
0,24.6,1010.3,0,-3.54,0.107
1,24.5,1010.2,0.1,-3.54,0.128
2,24.1,1010.5,0,-3.54,0.25
3,24,1011,0,-3.54,0.274
4,24.4,1011.3,0.1,50.82,0.491
5,26.9,1011.9,0.8,222.1,1.009
6,28.8,1012.3,1.2,488.2,1.265
7,29.3,1012.7,2.1,854.4,1.235
8,30.7,1012.8,2.1,1847,1.774
9,31.2,1012.2,2,2038,1.396
10,31.2,1011.4,2.4,2114,1.095
11,30.9,1010.3,2.1,2142,1.045
12,31.7,1009.6,1.9,2247,0.964
13,31.4,1009,2,1467,0.976
14,31,1008.7,1.2,1038,0.747
15,29.9,1009.2,0.8,309,0.548
16,28.7,1009.8,1,2.899,0.509
17,27.7,1010.3,0.8,-2.86,0.28
18,26.9,1011.3,1.1,-3.54,0.009
19,26.4,1011.9,1,-3.54,0.057
20,25.9,1012.2,0.8,-3.54,0.057
21,25.4,1011.9,0.7,-3.54,0.128
22,25,1011.3,0.7,-3.54,0.119
23,24.6,1010.6,0.6,-3.54,0.185
0,24.1,1010.2,0.3,-3.54,0.221
1,23.8,1010.2,0.3,-3.54,0.211
2,23.5,1010.7,0,-3.54,0.298
3,23.4,1010.8,0,-3.54,0.408
4,24.1,1011.6,0.5,48.53,0.559
5,26.4,1012.1,0.8,194.9,0.977
6,28.5,1012.7,1.6,318.5,1.278
7,29.7,1013,2.3,677.6,1.1
8,31.5,1013,1.7,2452,1.923
9,32.2,1012.4,1.6,2980,1.635
10,32.6,1011.4,2.1,2122,1.278
11,32.6,1010.5,1.6,2039,1.361
12,33.5,1009.8,1,1624,1.117
13,31.5,1009.4,1.7,832.9,1.104
14,31.5,1009.4,1.3,701.1,0.883
15,30.1,1009.8,0.7,113.8,0.726
16,29.1,1010.2,0.6,1.197,0.813
17,28.2,1010.8,0.9,-3.54,0.351
18,27.2,1011.3,0.5,-3.54,0.087
19,26.3,1012,1.2,-3.54,0.013
20,25.5,1012.2,1.1,-3.54,0.02
21,25.1,1011.9,0.8,-3.54,0.094
22,24.7,1011.4,0.8,-3.54,0.087
23,24.2,1010.6,0.3,-3.54,0.127
0,23.9,1010.3,0.6,-3.54,0.155
1,23.6,1010.4,0,-3.54,0.163
2,23.4,1010.6,0.1,-3.54,0.167
3,23.4,1010.6,0,-3.54,0.242
4,24.3,1010.9,0.5,46.17,0.5
5,26.6,1011.5,0.9,179.2,0.875
6,29.3,1012,1,272.8,1.352
7,30.5,1012.4,0.9,656.1,1.598
8,30.4,1012.4,1,2301,2.458
9,31.9,1011.9,1.2,1985,2.015
10,31.3,1010.9,1.7,2182,1.28
11,31.3,1009.7,1.2,1448,1.269
12,31,1009.1,2,871.8,1.049
13,28.8,1009,2.2,777.3,1.038
14,28.3,1009.1,1.8,440.1,0.648
15,26.8,1009.6,1.4,135.6,0.288
16,27.3,1010.7,1.6,3.265,0.258
17,24,1010.9,0.4,-1.62,0.11
18,24.9,1011.8,0.5,-1.53,0.015
19,25,1012.5,0.3,-2.56,0
20,24.8,1013,0.1,-3.5,0.004
21,24.6,1012.6,0,-3.25,0.004
22,24.5,1012.1,0,-2.81,0.008
23,24.2,1011.3,0,-3.42,0
