hora,temp,press,ventvel,rad,act
23,24.6,1009.2,0.2,-3.54,0.167
0,24.3,1009,0,-3.54,0.094
1,23.9,1009,0,-3.54,0.176
2,23.5,1009.1,0,-3.54,0.191
3,23.2,1009.6,0,-3.54,0.334
4,24,1009.7,0.2,34.39,0.535
5,25.7,1010.5,0.9,156.4,1.082
6,28.3,1010.9,1.3,262.9,1.426
7,29.7,1010.9,1.8,814.1,1.158
8,30.1,1010.8,1.9,1878,1.091
9,30.6,1010.2,1.6,2656,1.125
10,31.7,1009.4,1.3,2326,0.96
11,31.6,1008.6,1.2,2256,0.881
12,31.9,1007.9,1.2,1450,0.827
13,31.8,1007.7,1.3,1718,0.815
14,30.3,1007.7,2,1132,0.523
15,29,1008.1,1.8,262.2,0.426
16,27.9,1008.4,1.4,8.973,0.383
17,27.6,1009.5,0.9,-1.32,0.17
18,25.5,1010.8,2.6,-1.76,0.058
19,25,1010.9,0.3,-2.95,0.003
20,24.9,1011.2,0.6,-2.99,0.015
21,24.6,1010.5,0.1,-3.22,0.018
22,25,1009.9,0.5,-3.35,0.143
23,24.8,1009.1,0.3,-3.54,0.082
0,24.6,1008.6,0.2,-3.54,0.046
1,24.4,1008.4,0.1,-3.54,0.108
2,24.2,1008.8,0.1,-3.54,0.192
3,23.7,1009.1,0,-3.54,0.347
4,24.1,1009.5,0.3,33.45,0.718
5,25.9,1010.2,0.8,158.9,1.229
6,27.8,1010.8,1.2,367.4,1.656
7,29.4,1010.4,1.7,797.5,1.43
8,31.5,1010.2,1.4,2444,1.375
9,31.6,1009.7,1.2,2775,1.139
10,31.7,1009.1,2.7,2025,1.08
11,31.5,1008.3,1.9,2854,0.842
12,32,1007.7,2.1,2342,0.752
13,29.6,1007.6,1.3,903.6,0.644
14,30.1,1007.6,1.3,573.2,0.409
15,28.1,1008.2,0.9,160.9,0.229
16,25.9,1008.9,0.2,0.416,0.266
17,24.8,1009.6,0.3,-3.14,0.102
18,24.9,1010.5,0.3,-1.89,0.031
19,25,1011,0.1,-2.83,0.053
20,25,1011.2,0.1,-1.42,0.084
21,25,1010.9,0,-1.25,0.099
22,24.6,1010.2,0.2,-2,0.096
23,24.2,1009.6,0,-3.47,0.149
0,24.2,1009.1,0.2,-3.47,0.099
1,23.9,1008.9,0.2,-3.52,0.12
2,23.8,1009.2,0.3,-3.52,0.244
3,23.5,1009.5,0.3,-3.54,0.367
4,23.6,1009.8,0.3,33.68,0.908
5,25.2,1010.5,0.7,161.3,1.509
6,27.8,1011.1,1.2,254.9,1.64
7,29.7,1011.2,1.2,742.4,1.594
8,29.8,1011,1.7,2311,1.473
9,30.9,1010.5,2.1,2330,1.085
10,31.8,1009.7,0.9,2799,0.89
11,31.7,1008.7,1.4,2661,0.901
12,31.6,1008.4,2.1,1973,0.618
13,30.3,1008.1,1.6,1672,0.516
14,30.7,1008,1.5,877.5,0.325
15,29.5,1008.2,1.1,261.8,0.237
16,28.6,1008.6,0.8,11.72,0.24
17,28.1,1009.1,0.7,-3,0.131
18,27.2,1010.2,0.7,-3.38,0.081
19,26,1010.5,0.7,-3.48,0.007
20,25.5,1011.2,0.7,-3.54,0.018
21,24.9,1010.8,0.5,-3.54,0.018
22,24.6,1010.3,0.4,-3.54,0.081
23,24.4,1009.8,0.2,-3.54,0.071
0,24.2,1009.3,0.4,-3.54,0.086
1,24,1009.3,0.5,-3.54,0.06
2,23.7,1009.4,0.4,-3.54,0.116
3,23.5,1009.6,0.6,-3.54,0.466
4,23.8,1010,0.7,36.51,0.739
5,25.8,1010.5,1.1,158.3,1.272
6,28.4,1011.3,0.7,240,1.664
7,30.1,1011.9,1.1,725.5,1.735
8,29.4,1011.9,2,2288,1.687
9,31.1,1011.4,2,2851,1.336
10,31.7,1010.6,1.4,3268,1.213
11,31.8,1009.9,2.5,2952,1.045
12,31.6,1009.2,2.2,2412,0.918
13,31.7,1008.9,1.3,1916,0.821
14,30.8,1009,0.8,885.8,0.384
15,29.2,1009.4,1.4,129.9,0.224
16,28.1,1009.9,1.1,7.268,0.373
17,27.7,1010.8,0.9,-3.54,0.272
18,27.3,1011.4,0.5,-3.44,0.056
19,26.9,1011.8,0.7,-2.16,0.004
20,26.2,1011.6,0.4,-3.54,0.034
21,25.8,1011.2,0.2,-3.54,0.052
22,25.6,1010.3,0.7,-3.54,0.037
23,25.1,1009.4,0.3,-3.54,0.045
0,24.6,1008.8,0.3,-3.54,0.125
1,24.5,1008.7,0.1,-3.54,0.065
2,24.4,1008.7,0,-3.54,0.24
3,24.3,1009.1,0,-3.54,0.274
4,24.7,1009.9,0.1,36.71,0.741
5,26.2,1010.8,0.7,189.7,1.243
6,28.6,1011.4,1.4,307,1.517
7,29.1,1011.6,1.1,813.4,1.646
8,29.1,1011.8,1.5,1683,1.795
9,29.5,1011.5,1.5,2184,1.357
10,30.7,1010.7,2.7,2339,1.027
11,31.2,1009.6,1.9,2479,1.061
12,29.9,1008.7,1.8,1510,0.837
13,31.2,1008.3,1.5,1413,0.821
14,30.4,1008.5,1.4,1100,0.764
15,28.7,1009.3,1.3,197.1,0.802
16,27.3,1009.5,0.9,4.113,0.859
17,26.7,1010.4,1.1,-3.53,0.707
18,26.2,1011.3,0.6,-2.94,0.099
19,26.2,1012.1,0.6,-2.3,0.08
20,26.2,1012.1,0.5,-1.46,0.053
21,25.8,1011.6,0.5,-3.22,0.095
22,25.3,1011,0.4,-3.54,0.091
23,24.7,1010,0,-3.54,0.084
0,24.7,1008.8,0.1,-3.54,0.103
1,24.4,1008.4,0,-3.54,0.148
2,24.2,1008.5,0,-3.54,0.089
3,23.7,1009,0,-3.54,0.275
4,24.1,1009.7,0,36.38,0.68
5,25.7,1010.5,1,167.6,1.519
6,28.2,1011,1.5,321.2,1.667
7,29.3,1011.4,1.9,862.6,1.347
8,29.5,1011.4,1.7,1563,1.265
9,29.2,1010.7,2.2,2160,1.364
10,29.1,1009.9,2.3,1621,1.265
11,31.3,1008.7,2.9,2900,0.955
12,31.2,1007.8,2.3,2189,0.615
13,31.1,1007.1,1.9,1962,0.57
14,30.8,1007.6,1.8,1080,0.722
15,29.9,1008.2,0.6,242.2,0.577
16,25.5,1009.8,1.5,2.591,0.66
17,24.4,1010.7,1,-3.54,0.426
18,24.4,1011.3,0,-2.43,0.027
19,24.8,1011,0.1,-2.23,0.003
20,25.2,1011.6,0.1,-0.51,0
21,24.9,1011.5,0,-1.87,0.003
22,24.7,1010.8,0,-3.23,0.003
23,23.9,1010,0,-3.54,0.014
0,23.7,1009.4,0,-3.5,0
1,23.8,1009.2,0,-3.53,0.012
2,23.6,1009.2,0,-3.48,0.048
3,23.6,1009.8,0,-3.54,0.132
4,23.6,1010.7,0,38.95,0.369
5,25.4,1011.3,0,182.5,0.814
6,26.8,1011.8,1.3,343.2,1.405
7,28,1012.1,1.9,773.2,1.598
8,28.6,1012.1,2.7,1785,1.492
9,29.8,1011.6,2.8,2773,1.207
10,29.9,1010.7,3.8,3169,1.072
11,30.4,1009.9,2.5,2627,0.964
12,30.9,1008.9,2.4,2287,0.754
13,30.8,1008.6,2.9,1980,0.892
14,30.1,1008.5,1.6,1266,0.61
15,29.2,1009,0.6,172.2,0.399
16,27.5,1009.7,0.1,4.253,0.604
17,26.6,1010.3,0,-3.54,0.393
18,27.2,1011.3,0.9,-2.18,0.078
19,26.3,1011.8,0.3,-3.2,0.018
20,26,1011.9,0.6,-2.34,0.048
21,25.5,1011.7,0.4,-3.54,0.066
22,25.1,1011,0.5,-3.54,0.165
23,24.6,1010.2,0.4,-3.54,0.093
0,24,1009.8,0,-3.54,0.065
1,23.7,1009.8,0,-3.54,0.053
2,23.5,1010,0,-3.54,0.123
3,23.2,1010.3,0,-3.54,0.158
4,23.5,1010.9,0,36.46,0.39
5,25.7,1011.5,0.7,150.6,0.801
6,28.5,1011.9,1.4,232.4,1.144
7,29.5,1012.1,1.7,369.1,1.252
8,30.4,1011.7,2.6,2650,1.232
9,32.2,1011,1.7,3001,1.109
10,30.5,1010.3,2.9,2360,0.941
11,32,1009.6,2.8,2738,0.933
12,32.3,1009.2,2.4,2615,0.968
13,31.5,1008.8,1.9,1578,0.721
14,30.9,1008.7,1,1109,0.431
15,29.7,1008.8,0.8,247.7,0.507
16,27.9,1009.5,0.2,7.251,0.543
17,27.4,1010.2,0,-3,0.355
18,28,1011.3,1.1,-3.01,0.056
19,27.4,1011.9,0.6,-2.95,0
20,26.9,1011.8,0.8,-3.54,0.05
21,26.2,1011.6,0.9,-3.54,0.032
22,25.5,1011.1,0.7,-3.54,0.056
23,25,1010.6,0.5,-3.54,0.147
0,24.6,1009.8,0.4,-3.54,0.069
1,24.1,1010.1,0.4,-3.54,0.073
2,24,1010.1,0.5,-3.54,0.218
3,23.7,1010,0.3,-3.54,0.256
