temp,act
25.1,0.303
24.4,0.389
24.8,0.947
26.4,1.475
27.6,1.758
29,1.525
29.5,1.861
30.8,1.758
31,1.32
32.3,1.217
32,1.209
31.9,1.123
31.5,0.648
30.3,0.361
28.5,0.586
28.4,0.41
27.9,0.037
27.3,0.004
26.7,0.033
26.4,0.074
26,0.053
25.8,0.078
25.6,0.102
25.3,0.158
25,0.193
24.9,0.284
24.9,0.604
25.8,1.284
27.7,1.596
28.9,1.389
29.5,1.488
31,1.172
31.3,1.235
31.4,1.133
31.6,1.032
31.3,0.874
29.9,0.66
28.9,0.47
28,0.516
27.2,0.411
26.6,0.063
26.5,0
26,0.007
25.7,0.014
25.3,0.035
25,0.053
24.7,0.074
24.5,0.042
24.7,0.065
24.6,0.116
24.8,0.285
26.1,0.893
28.9,1.211
29.6,1.312
31.2,1.386
31.6,1.065
31.4,1.033
31.9,0.825
31.3,0.893
28.6,0.697
27.5,0.632
26,0.436
24.6,0.481
24.7,0.128
24.8,0.015
25,0.027
25.2,0.021
24.8,0.116
24.3,0.107
24.1,0.136
23.9,0.17
23.7,0.167
23.7,0.078
23.5,0.213
23.7,0.371
25.6,0.934
28.1,1.362
29.6,1.247
31.2,1.443
31.3,1.284
31.4,0.934
31.6,0.764
29.8,0.793
29.3,0.784
26.4,0.658
27.3,0.48
27.3,0.391
27.1,0.184
25,0.118
25.1,0.069
24.9,0.026
24.6,0.106
24.2,0.129
24,0.124
23.9,0.174
23.8,0.101
23.7,0.116
23.3,0.241
23.6,0.576
25.6,0.927
27.3,1.244
29.5,1.436
31.4,1.424
31.3,1.146
33.1,0.991
32.9,0.857
31.4,0.857
30.6,0.814
30.2,0.357
29.6,0.299
28.3,0.549
28.1,0.183
26.9,0.067
26,0.076
25.3,0.125
24.8,0.149
24.4,0.204
24.2,0.268
24,0.209
23.8,0.209
23.6,0.139
23.6,0.223
24.1,0.476
25.8,0.834
28.4,1.432
29.8,1.419
30.9,1.639
31.6,1.348
31.3,1.182
31.5,0.943
31,0.747
29.4,1.041
28,0.635
27.5,0.429
27,0.199
26.6,0.152
26.4,0.061
26.2,0.007
25.9,0.017
25.9,0.051
25.6,0.101
25.2,0.176
25.1,0.158
25.2,0.158
25,0.286
25,0.376
25.4,0.707
27.8,1.244
29,1.523
30.2,1.816
31.2,1.808
31.7,1.342
30.9,1.229
31.5,0.823
32.2,1.026
32.3,0.868
30.2,0.613
28.7,0.41
26.8,0.282
26,0.203
26.1,0.098
26,0.132
25.6,0.06
25.4,0.113
25.2,0.124
25,0.177
24.9,0.231
24.7,0.146
24.6,0.208
24.2,0.327
24.6,0.362
26.7,0.919
28.7,1.435
29.8,1.323
30.1,1.485
30.5,1.073
31,1.288
32.9,1.096
33.1,0.846
32,0.888
31.1,0.692
29.9,0.492
28.5,0.654
27.5,0.285
26.6,0.081
25.9,0.096
25.3,0.15
24.8,0.227
24.5,0.15
23.8,0.088
23.5,0.065
23.2,0.121
23,0.046
22.8,0.176
23.6,0.296
26.4,0.782
28.6,1.078
29.8,1.212
31.6,1.43
31.7,1.003
33.2,0.847
33.3,1.14
33.1,1.212
33,1.036
31.7,0.87
30.6,0.671
29.4,0.73
28.4,0.469
27.3,0.039
26.6,0.033
25.7,0
25.2,0.01
25,0.026
24.5,0.078
24.2,0.029
