rad,act
3034,1.313
2822,1.254
2376,0.896
1735,0.914
1123,0.455
308,0.366
4.89,0.519
-3.54,0.299
-3.54,0.015
-3.31,0.004
-3.19,0.015
-3.52,0.034
-3.48,0.049
-3.28,0.19
-3.05,0.189
-3.53,0.131
-3.54,0.303
-3.54,0.389
40.78,0.947
185.7,1.475
414.5,1.758
898.5,1.525
2085,1.861
2962,1.758
3024,1.32
2793,1.217
2344,1.209
1972,1.123
1236,0.648
317.1,0.361
6.998,0.586
-3.54,0.41
-3.54,0.037
-3.54,0.004
-3.54,0.033
-3.54,0.074
-3.54,0.053
-3.54,0.078
-3.54,0.102
-3.54,0.158
-3.54,0.193
-3.54,0.284
50.39,0.604
303.1,1.284
642,1.596
1018,1.389
2098,1.488
2876,1.172
2722,1.235
2061,1.133
2278,1.032
1297,0.874
859.1,0.66
324.6,0.47
13.43,0.516
-3.54,0.411
-3.54,0.063
-3.52,0
-3.22,0.007
-3.54,0.014
-3.54,0.035
-3.54,0.053
-3.54,0.074
-3.54,0.042
-3.54,0.065
-3.54,0.116
45.49,0.285
193.1,0.893
370.7,1.211
806,1.312
1774,1.386
1988,1.065
2733,1.033
2512,0.825
1398,0.893
686.8,0.697
204.3,0.632
126.3,0.436
2.346,0.481
-1.66,0.128
-2.36,0.015
-2.74,0.027
-2.84,0.021
-3.39,0.116
-3.54,0.107
-3.53,0.136
-3.54,0.17
-3.49,0.167
-3.48,0.078
-3.5,0.213
41.98,0.371
164.2,0.934
276.1,1.362
603,1.247
2077,1.443
2092,1.284
2072,0.934
1869,0.764
456.4,0.793
292.1,0.784
271.7,0.658
91.13,0.48
14.85,0.391
-0.31,0.184
-3.36,0.118
-3.29,0.069
-3.51,0.026
-3.54,0.106
-3.54,0.129
-3.54,0.124
-3.54,0.174
-3.53,0.101
-3.54,0.116
-3.54,0.241
39.72,0.576
163.2,0.927
254,1.244
582.8,1.436
2710,1.424
2928,1.146
3216,0.991
2765,0.857
1586,0.857
1201,0.814
525.8,0.357
144,0.299
11.66,0.549
-3.53,0.183
-3.54,0.067
-3.48,0.076
-3.54,0.125
-3.54,0.149
-3.54,0.204
-3.54,0.268
-3.54,0.209
-3.54,0.209
-3.54,0.139
-3.54,0.223
39.5,0.476
183.5,0.834
282.8,1.432
554,1.419
2591,1.639
2887,1.348
2852,1.182
1694,0.943
1376,0.747
1147,1.041
497.5,0.635
313.6,0.429
8.328,0.199
-3.49,0.152
-3.53,0.061
-3.54,0.007
-3.54,0.017
-3.46,0.051
-3.21,0.101
-3.54,0.176
-3.53,0.158
-2.68,0.158
-3.54,0.286
-3.53,0.376
43.41,0.707
308.2,1.244
500.1,1.523
880.7,1.816
1422,1.808
1637,1.342
2201,1.229
1988,0.823
1795,1.026
1620,0.868
1064,0.613
225.8,0.41
2.299,0.282
-3.27,0.203
-3.53,0.098
-3.48,0.132
-3.54,0.06
-3.54,0.113
-3.54,0.124
