prev,act
0.004,0.015
0.015,0.034
0.034,0.049
0.049,0.19
0.19,0.189
0.189,0.131
0.131,0.303
0.303,0.389
0.389,0.947
0.947,1.475
1.475,1.758
1.758,1.525
1.525,1.861
1.861,1.758
1.758,1.32
1.32,1.217
1.217,1.209
1.209,1.123
1.123,0.648
0.648,0.361
0.361,0.586
0.586,0.41
0.41,0.037
0.037,0.004
0.004,0.033
0.033,0.074
0.074,0.053
0.053,0.078
0.078,0.102
0.102,0.158
0.158,0.193
0.193,0.284
0.284,0.604
0.604,1.284
1.284,1.596
1.596,1.389
1.389,1.488
1.488,1.172
1.172,1.235
1.235,1.133
1.133,1.032
1.032,0.874
0.874,0.66
0.66,0.47
0.47,0.516
0.516,0.411
0.411,0.063
0.063,0
0,0.007
0.007,0.014
0.014,0.035
0.035,0.053
0.053,0.074
0.074,0.042
0.042,0.065
0.065,0.116
0.116,0.285
0.285,0.893
0.893,1.211
1.211,1.312
1.312,1.386
1.386,1.065
1.065,1.033
1.033,0.825
0.825,0.893
0.893,0.697
0.697,0.632
0.632,0.436
0.436,0.481
0.481,0.128
0.128,0.015
0.015,0.027
0.027,0.021
0.021,0.116
0.116,0.107
0.107,0.136
0.136,0.17
0.17,0.167
0.167,0.078
0.078,0.213
0.213,0.371
0.371,0.934
0.934,1.362
1.362,1.247
1.247,1.443
1.443,1.284
1.284,0.934
0.934,0.764
0.764,0.793
0.793,0.784
0.784,0.658
0.658,0.48
0.48,0.391
0.391,0.184
0.184,0.118
0.118,0.069
0.069,0.026
0.026,0.106
0.106,0.129
0.129,0.124
0.124,0.174
0.174,0.101
0.101,0.116
0.116,0.241
0.241,0.576
0.576,0.927
0.927,1.244
1.244,1.436
1.436,1.424
1.424,1.146
1.146,0.991
0.991,0.857
0.857,0.857
0.857,0.814
0.814,0.357
0.357,0.299
0.299,0.549
0.549,0.183
0.183,0.067
0.067,0.076
0.076,0.125
0.125,0.149
0.149,0.204
0.204,0.268
0.268,0.209
0.209,0.209
0.209,0.139
0.139,0.223
0.223,0.476
0.476,0.834
0.834,1.432
1.432,1.419
1.419,1.639
1.639,1.348
1.348,1.182
1.182,0.943
0.943,0.747
0.747,1.041
1.041,0.635
0.635,0.429
0.429,0.199
0.199,0.152
0.152,0.061
0.061,0.007
0.007,0.017
0.017,0.051
0.051,0.101
0.101,0.176
0.176,0.158
0.158,0.158
0.158,0.286
0.286,0.376
0.376,0.707
0.707,1.244
1.244,1.523
1.523,1.816
1.816,1.808
1.808,1.342
1.342,1.229
1.229,0.823
0.823,1.026
1.026,0.868
0.868,0.613
0.613,0.41
0.41,0.282
0.282,0.203
0.203,0.098
0.098,0.132
0.132,0.06
0.06,0.113
0.113,0.124
0.124,0.177
0.177,0.231
0.231,0.146
0.146,0.208
0.208,0.327
0.327,0.362
0.362,0.919
0.919,1.435
1.435,1.323
1.323,1.485
1.485,1.073
1.073,1.288
1.288,1.096
1.096,0.846
0.846,0.888
0.888,0.692
0.692,0.492
0.492,0.654
0.654,0.285
0.285,0.081
0.081,0.096
0.096,0.15
0.15,0.227
0.227,0.15
0.15,0.088
0.088,0.065
0.065,0.121
0.121,0.046
0.046,0.176
0.176,0.296
0.296,0.782
0.782,1.078
1.078,1.212
1.212,1.43
1.43,1.003
1.003,0.847
0.847,1.14
1.14,1.212
1.212,1.036
1.036,0.87
0.87,0.671
0.671,0.73
0.73,0.469
0.469,0.039
0.039,0.033
0.033,0
0,0.01
0.01,0.026
0.026,0.078
0.078,0.029
0.029,0.038
0.038,0.081
0.081,0.172
0.172,0.294
0.294,0.686
0.686,1.221
1.221,1.346
1.346,1.581
1.581,1.235
1.235,1.157
1.157,0.951
0.951,1.015
1.015,1.041
1.041,0.497
0.497,0.735
0.735,0.852
0.852,0.34
0.34,0.058
0.058,0.012
0.012,0.174
0.174,0.224
0.224,0.247
0.247,0.183
0.183,0.101
0.101,0.115
0.115,0.132
0.132,0.146
0.146,0.39
0.39,0.89
0.89,1.219
1.219,1.371
1.371,1.885
1.885,1.612
1.612,1.343
1.343,1.213
1.213,1.166
1.166,1.126
1.126,0.927
0.927,0.949
0.949,0.708
0.708,0.343
0.343,0.098
0.098,0.067
0.067,0.059
0.059,0.152
0.152,0.138
0.138,0.11
0.11,0.107
0.107,0.128
0.128,0.25
0.25,0.274
0.274,0.491
0.491,1.009
1.009,1.265
1.265,1.235
1.235,1.774
1.774,1.396
1.396,1.095
1.095,1.045
1.045,0.964
0.964,0.976
0.976,0.747
0.747,0.548
0.548,0.509
0.509,0.28
0.28,0.009
0.009,0.057
0.057,0.057
0.057,0.128
0.128,0.119
0.119,0.185
0.185,0.221
0.221,0.211
0.211,0.298
0.298,0.408
0.408,0.559
0.559,0.977
0.977,1.278
1.278,1.1
1.1,1.923
1.923,1.635
1.635,1.278
1.278,1.361
1.361,1.117
1.117,1.104
1.104,0.883
0.883,0.726
0.726,0.813
0.813,0.351
0.351,0.087
0.087,0.013
0.013,0.02
0.02,0.094
0.094,0.087
0.087,0.127
0.127,0.155
0.155,0.163
0.163,0.167
0.167,0.242
0.242,0.5
0.5,0.875
0.875,1.352
1.352,1.598
1.598,2.458
2.458,2.015
2.015,1.28
1.28,1.269
1.269,1.049
1.049,1.038
1.038,0.648
0.648,0.288
0.288,0.258
0.258,0.11
0.11,0.015
0.015,0
0,0.004
0.004,0.004
0.004,0.008
0.008,0
