hora,temp,press,ventvel,rad,chuva,act
0.347826,0.575221,0.885714,0.473684,0.509405,0,0.393816
0.391304,0.690265,0.814286,0.5,0.794286,0,0.242474
0.434783,0.743363,0.671429,0.421053,0.782977,0,0.384052
0.478261,0.823009,0.571429,0.578947,0.84197,0,0.372661
0.521739,0.743363,0.5,0.342105,0.639008,0,0.235557
0.565217,0.831858,0.428571,0.289474,0.643287,0,0.338487
0.608696,0.858407,0.442857,0.078947,0.290212,0,0.281123
0.652174,0.566372,0.471429,0.263158,0.058272,0,0.165582
0.695652,0.504425,0.542857,0.105263,0.005539,0,0.332791
0.73913,0.292035,0.642857,0.526316,0.000159,0.131579,0.229862
0.782609,0.238938,0.714286,0,0.000538,0.078947,0.005696
0.826087,0.238938,0.8,0.026316,0.000306,0,0
0.869565,0.221239,0.842857,0.105263,0.000361,0,0
0.913043,0.20354,0.828571,0.026316,0.00004,0,0.001627
0.956522,0.19469,0.771429,0.131579,0.000015,0,0.001627
1,0.159292,0.7,0.105263,0.000144,0,0
0,0.132743,0.628571,0.026316,0,0,0.002441
0.043478,0.106195,0.614286,0,0,0,0.01668
0.086957,0.097345,0.628571,0.026316,0,0,0.034581
0.130435,0.097345,0.642857,0,0,0,0.072823
0.173913,0.141593,0.714286,0.078947,0.011411,0,0.152156
0.217391,0.256637,0.771429,0.131579,0.045434,0,0.378763
0.26087,0.469027,0.828571,0.368421,0.067992,0,0.557771
0.304348,0.628319,0.9,0.368421,0.242681,0,0.53987
0.347826,0.619469,0.871429,0.342105,0.550059,0,0.551261
0.391304,0.769912,0.785714,0.236842,0.816906,0.006579,0.399105
0.434783,0.699115,0.642857,0.447368,0.609664,0,0.383645
0.478261,0.778761,0.485714,0.394737,0.840136,0,0.391375
0.521739,0.893805,0.4,0.342105,0.536304,0,0.286412
0.565217,0.787611,0.328571,0.473684,0.451634,0,0.226607
0.608696,0.654867,0.314286,0.210526,0.269946,0,0.199756
0.652174,0.415929,0.357143,0.315789,0.025156,0,0.186737
0.695652,0.40708,0.428571,0.236842,0.003848,0,0.230269
0.73913,0.362832,0.485714,0.078947,0.000205,0,0.099675
0.782609,0.336283,0.571429,0.105263,0.000003,0,0.025631
0.826087,0.292035,0.614286,0.131579,0.000018,0,0.003662
0.869565,0.247788,0.642857,0.184211,0,0,0.021562
0.913043,0.230088,0.571429,0.236842,0.000086,0,0.010171
0.956522,0.20354,0.528571,0.184211,0.000095,0,0.012612
1,0.176991,0.457143,0.052632,0,0,0.067941
0,0.150442,0.428571,0,0,0,0.038242
0.043478,0.115044,0.428571,0,0,0,0.071603
0.086957,0.079646,0.442857,0,0,0,0.077705
0.130435,0.053097,0.514286,0,0,0,0.135883
0.173913,0.123894,0.528571,0.052632,0.011594,0,0.217657
0.217391,0.274336,0.642857,0.236842,0.048888,0,0.440195
0.26087,0.504425,0.7,0.342105,0.081442,0,0.580146
0.304348,0.628319,0.7,0.473684,0.249925,0,0.471115
0.347826,0.663717,0.685714,0.5,0.575124,0,0.443857
0.391304,0.707965,0.6,0.421053,0.812932,0,0.457689
0.434783,0.80531,0.485714,0.342105,0.712062,0,0.390561
0.478261,0.79646,0.371429,0.315789,0.690666,0,0.358421
0.521739,0.823009,0.271429,0.315789,0.444298,0,0.336452
0.565217,0.814159,0.242857,0.342105,0.526217,0,0.33157
0.608696,0.681416,0.242857,0.526316,0.347096,0,0.212775
0.652174,0.566372,0.3,0.473684,0.081228,0,0.173312
0.695652,0.469027,0.342857,0.368421,0.003825,0,0.155818
0.73913,0.442478,0.5,0.236842,0.000679,0,0.069162
0.782609,0.256637,0.685714,0.684211,0.000544,0,0.023596
0.826087,0.212389,0.7,0.078947,0.00018,0,0.001221
0.869565,0.20354,0.742857,0.157895,0.000168,0,0.006103
0.913043,0.176991,0.642857,0.026316,0.000098,0,0.007323
0.956522,0.212389,0.557143,0.131579,0.000058,0,0.058177
1,0.19469,0.442857,0.078947,0,0,0.03336
0,0.176991,0.371429,0.052632,0,0,0.018714
0.043478,0.159292,0.342857,0.026316,0,0,0.043938
0.086957,0.141593,0.4,0.026316,0,0,0.078112
0.130435,0.097345,0.442857,0,0,0,0.141172
0.173913,0.132743,0.5,0.078947,0.011307,0,0.292107
0.217391,0.292035,0.6,0.210526,0.049652,0,0.5
0.26087,0.460177,0.685714,0.315789,0.113384,0,0.673718
0.304348,0.60177,0.628571,0.447368,0.244851,0,0.581774
0.347826,0.787611,0.6,0.368421,0.748131,0,0.559398
0.391304,0.79646,0.528571,0.315789,0.849306,0,0.463385
0.434783,0.80531,0.442857,0.710526,0.620057,0,0.439382
0.478261,0.787611,0.328571,0.5,0.873454,0,0.342555
0.521739,0.831858,0.242857,0.552632,0.716953,0,0.30594
0.565217,0.619469,0.228571,0.342105,0.277282,0.006579,0.262002
0.608696,0.663717,0.228571,0.342105,0.17629,0,0.166395
0.652174,0.486726,0.314286,0.236842,0.050264,0,0.093165
0.695652,0.292035,0.414286,0.052632,0.001209,0.105263,0.108218
0.73913,0.19469,0.514286,0.078947,0.000122,0.006579,0.041497
0.782609,0.20354,0.642857,0.078947,0.000504,0.059211,0.012612
0.826087,0.212389,0.714286,0.026316,0.000217,0,0.021562
0.869565,0.212389,0.742857,0.026316,0.000648,0,0.034174
0.913043,0.212389,0.7,0,0.0007,0,0.040277
0.956522,0.176991,0.6,0.052632,0.000471,0,0.039056
1,0.141593,0.514286,0,0.000021,0,0.060618
0,0.141593,0.442857,0.052632,0.000021,0,0.040277
0.043478,0.115044,0.414286,0.052632,0.000006,0,0.04882
